SOCIA-4741e36d-ba80-412a-a1dc-c594574c7525=Application{applicationId='SOCIA-4741e36d-ba80-412a-a1dc-c594574c7525', name='Instagram', version='289.0', size=236.2, applicationType=SOCIAL_MEDIA}
SOCIA-43c28a35-3fa8-4f8d-bd7f-5b25923d2475=Application{applicationId='SOCIA-43c28a35-3fa8-4f8d-bd7f-5b25923d2475', name='Discord', version='183.0', size=185.5, applicationType=SOCIAL_MEDIA}
SOCIA-ce75fa55-204c-41dd-90e1-5272bc505417=Application{applicationId='SOCIA-ce75fa55-204c-41dd-90e1-5272bc505417', name='Twitter', version='9.63', size=221.6, applicationType=SOCIAL_MEDIA}
SOCIA-a82dc614-556c-467b-ad55-445f82e750b7=Application{applicationId='SOCIA-a82dc614-556c-467b-ad55-445f82e750b7', name='Whatsapp', version='23.11.80', size=167.2, applicationType=SOCIAL_MEDIA}
INFOR-541a7f55-fab0-419c-93e1-7334104cb62f=Application{applicationId='INFOR-541a7f55-fab0-419c-93e1-7334104cb62f', name='News', version='4.0.5', size=27.1, applicationType=INFORMATION_READ}
EDUCA-51e4ce7c-d3d2-4e42-a663-2ac3d9a702bd=Application{applicationId='EDUCA-51e4ce7c-d3d2-4e42-a663-2ac3d9a702bd', name='EnglishCentral', version='5.2.3', size=169.6, applicationType=EDUCATION}
EDUCA-3d1a01a2-5cc0-4e58-b877-0bca6b46f137=Application{applicationId='EDUCA-3d1a01a2-5cc0-4e58-b877-0bca6b46f137', name='Voscreen', version='2.1', size=24.6, applicationType=EDUCATION}
FINAN-367bae64-ae5a-4d0a-8264-ac37c265b4a4=Application{applicationId='FINAN-367bae64-ae5a-4d0a-8264-ac37c265b4a4', name='Vakıfbank', version='3.0.2', size=281.3, applicationType=FINANCE}
FINAN-659682f0-0f20-4020-85f2-ca0738957e07=Application{applicationId='FINAN-659682f0-0f20-4020-85f2-ca0738957e07', name='GİB', version='2.9.0', size=61.3, applicationType=FINANCE}
HEALT-d9ee8cf9-137a-4a89-9676-78a8f4011c07=Application{applicationId='HEALT-d9ee8cf9-137a-4a89-9676-78a8f4011c07', name='MHRS', version='1.6.3', size=17.0, applicationType=HEALTH}
SOCIA-0fa646d6-8b1c-4b98-8803-f466843c345b=Application{applicationId='SOCIA-0fa646d6-8b1c-4b98-8803-f466843c345b', name='Instagram', version='289.0', size=236.2, applicationType=SOCIAL_MEDIA}
SOCIA-14fe3294-c93e-475a-ae61-879ec5c316bb=Application{applicationId='SOCIA-14fe3294-c93e-475a-ae61-879ec5c316bb', name='Discord', version='183.0', size=185.5, applicationType=SOCIAL_MEDIA}
SOCIA-82c3e4ba-7410-4203-911c-dbc632e1d534=Application{applicationId='SOCIA-82c3e4ba-7410-4203-911c-dbc632e1d534', name='Twitter', version='9.63', size=221.6, applicationType=SOCIAL_MEDIA}
SOCIA-0c07e3b0-00a3-45ab-90e9-099cb29611b4=Application{applicationId='SOCIA-0c07e3b0-00a3-45ab-90e9-099cb29611b4', name='Whatsapp', version='23.11.80', size=167.2, applicationType=SOCIAL_MEDIA}
INFOR-5b33dad2-885e-4dec-bf52-d6efd4c2dd94=Application{applicationId='INFOR-5b33dad2-885e-4dec-bf52-d6efd4c2dd94', name='News', version='4.0.5', size=27.1, applicationType=INFORMATION_READ}
